ID,Class
origin_dev\00027.jpg,2
origin_dev\00033.jpg,1
origin_dev\00047.jpg,2
origin_dev\00050.jpg,2
origin_dev\00051.jpg,3
origin_dev\00052.jpg,2
origin_dev\00059.jpg,3
origin_dev\00060.jpg,1
origin_dev\00069.jpg,1
origin_dev\00070.jpg,1
origin_dev\00073.jpg,1
origin_dev\00078.jpg,2
origin_dev\00082.jpg,2
origin_dev\00111.jpg,2
origin_dev\00119.jpg,3
origin_dev\00129.jpg,2
origin_dev\00130.jpg,1
origin_dev\00141.jpg,1
origin_dev\00161.jpg,1
origin_dev\00162.jpg,2
origin_dev\00178.jpg,1
origin_dev\00187.jpg,2
origin_dev\00189.jpg,3
origin_dev\00211.jpg,1
origin_dev\00227.jpg,2
origin_dev\00280.jpg,1
origin_dev\00285.jpg,3
origin_dev\00301.jpg,3
origin_dev\00319.jpg,1
origin_dev\00323.jpg,2
origin_dev\00335.jpg,1
origin_dev\00338.jpg,1
origin_dev\00346.jpg,3
origin_dev\00354.jpg,3
origin_dev\00358.jpg,1
origin_dev\00365.jpg,1
origin_dev\00367.jpg,1
origin_dev\00372.jpg,1
origin_dev\00385.jpg,1
origin_dev\00410.jpg,1
origin_dev\00416.jpg,1
origin_dev\00420.jpg,3
origin_dev\00422.jpg,1
origin_dev\00427.jpg,1
origin_dev\00449.jpg,3
origin_dev\00452.jpg,3
origin_dev\00456.jpg,2
origin_dev\00460.jpg,1
origin_dev\00486.jpg,3
origin_dev\00518.jpg,1
origin_dev\00526.jpg,2
origin_dev\00536.jpg,2
origin_dev\00546.jpg,2
origin_dev\00556.jpg,3
origin_dev\00558.jpg,3
origin_dev\00561.jpg,1
origin_dev\00566.jpg,2
origin_dev\00570.jpg,1
origin_dev\00577.jpg,3
origin_dev\00581.jpg,1
origin_dev\00590.jpg,2
origin_dev\00598.jpg,1
origin_dev\00614.jpg,3
origin_dev\00622.jpg,2
origin_dev\00640.jpg,1
origin_dev\00652.jpg,3
origin_dev\00656.jpg,3
origin_dev\00657.jpg,1
origin_dev\00677.jpg,3
origin_dev\00688.jpg,2
origin_dev\00700.jpg,3
origin_dev\00702.jpg,2
origin_dev\00714.jpg,2
origin_dev\00727.jpg,3
origin_dev\00756.jpg,3
origin_dev\00760.jpg,2
origin_dev\00764.jpg,1
origin_dev\00772.jpg,2
origin_dev\00786.jpg,3
origin_dev\00794.jpg,1
origin_dev\00813.jpg,1
origin_dev\00844.jpg,3
origin_dev\00849.jpg,2
origin_dev\00866.jpg,2
origin_dev\00882.jpg,2
origin_dev\00884.jpg,3
origin_dev\00911.jpg,3
origin_dev\00919.jpg,2
origin_dev\00924.jpg,1
origin_dev\00930.jpg,2
origin_dev\00941.jpg,3
origin_dev\00944.jpg,2
origin_dev\00952.jpg,2
origin_dev\00959.jpg,3
origin_dev\00967.jpg,3
origin_dev\00969.jpg,3
origin_dev\01000.jpg,2
origin_dev\01023.jpg,1
origin_dev\01024.jpg,3
origin_dev\01031.jpg,3
origin_dev\01067.jpg,3
origin_dev\01077.jpg,2
origin_dev\01089.jpg,2
origin_dev\01095.jpg,3
origin_dev\01106.jpg,2
origin_dev\01110.jpg,2
origin_dev\01113.jpg,2
origin_dev\01114.jpg,1
origin_dev\01122.jpg,2
origin_dev\01130.jpg,3
origin_dev\01138.jpg,3
origin_dev\01139.jpg,1
origin_dev\01142.jpg,3
origin_dev\01165.jpg,1
origin_dev\01193.jpg,1
origin_dev\01201.jpg,3
origin_dev\01224.jpg,3
origin_dev\01232.jpg,2
origin_dev\01236.jpg,2
origin_dev\01237.jpg,2
origin_dev\01238.jpg,2
origin_dev\01246.jpg,1
origin_dev\01261.jpg,3
origin_dev\01265.jpg,2
origin_dev\01267.jpg,3
origin_dev\01274.jpg,1
origin_dev\01279.jpg,1
origin_dev\01293.jpg,3
origin_dev\01300.jpg,3
origin_dev\01322.jpg,2
origin_dev\01324.jpg,2
origin_dev\01336.jpg,1
origin_dev\01346.jpg,2
origin_dev\01350.jpg,2
origin_dev\01360.jpg,1
origin_dev\01363.jpg,3
origin_dev\01365.jpg,2
origin_dev\01377.jpg,2
origin_dev\01399.jpg,1
origin_dev\01402.jpg,3
origin_dev\01410.jpg,1
origin_dev\01416.jpg,2
origin_dev\01424.jpg,3
origin_dev\01435.jpg,1
origin_dev\01458.jpg,1
origin_dev\01461.jpg,1
origin_dev\01468.jpg,3
origin_dev\01507.jpg,2
origin_dev\01511.jpg,2
origin_dev\01519.jpg,2
origin_dev\01539.jpg,2
origin_dev\01554.jpg,1
origin_dev\01559.jpg,2
origin_dev\01591.jpg,2
origin_dev\01602.jpg,2
origin_dev\01603.jpg,1
origin_dev\01604.jpg,2
origin_dev\01616.jpg,2
origin_dev\01636.jpg,3
origin_dev\01640.jpg,2
origin_dev\01645.jpg,3
